zip,state
91790,CA
90242,CA
91340,CA
90230,CA
90003,CA
90018,CA
90650,CA
90255,CA
91770,CA
90802,CA
90813,CA
93550,CA
91321,CA
90022,CA
91803,CA
90247,CA
90221,CA
91402,CA
91801,CA
90059,CA
90037,CA
91352,CA
90807,CA
91103,CA
90221,CA
92394,CA
90605,CA
90247,CA
91367,CA
90301,CA
91776,CA
90005,CA
91411,CA
91767,CA
90017,CA
91107,CA
91606,CA
90008,CA
91766,CA
90043,CA
90813,CA
90240,CA
91790,CA
90033,CA
91351,CA
91748,CA
90019,CA
90731,CA
90805,CA
91801,CA
91745,CA
90806,CA
90029,CA
91040,CA
91605,CA
90280,CA
90706,CA
91911,CA
91344,CA
90250,CA
90606,CA
91401,CA
92021,CA
91910,CA
92021,CA
92084,CA
95842,CA
92069,CA
92102,CA
92027,CA
92117,CA
92024,CA
91980,CA
92111,CA
91606,CA
90638,CA
91406,CA
91722,CA
91367,CA
91042,CA
90001,CA
90731,CA
90037,CA
91344,CA
91950,CA
90022,CA
90723,CA
90034,CA
90247,CA
93550,CA
90703,CA
90201,CA
90746,CA
90640,CA
91744,CA
91016,CA
90003,CA
90008,CA
90028,CA
90801,CA
90723,CA
90806,CA
90650,CA
91770,CA
92021,CA
90660,CA
90242,CA
90716,CA
91606,CA
91768,CA
90038,CA
90806,CA
90026,CA
90221,CA
90744,CA
91356,CA
90022,CA
90066,CA
91801,CA
93065,CA
91765,CA
91204,CA
93535,CA
90057,CA
91331,CA
90022,CA
91722,CA
91803,CA
90038,CA
90650,CA
91401,CA
90650,CA
90004,CA
90260,CA
91104,CA
90012,CA
91206,CA
91745,CA
91405,CA
91765,CA
91020,CA
90249,CA
93534,CA
91706,CA
90018,CA
90703,CA
90813,CA
90063,CA
90044,CA
95624,CA
93535,CA
90029,CA
90650,CA
91205,CA
90044,CA
90062,CA
91352,CA
90503,CA
91768,CA
90805,CA
91770,CA
91201,CA
90242,CA
91423,CA
90247,CA
91733,CA
91331,CA
91744,CA
91732,CA
91343,CA
91789,CA
90802,CA
90022,CA
90744,CA
91403,CA
90045,CA
90037,CA
90031,CA
90805,CA
90029,CA
90255,CA
